Mouse,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72,Bin73,Bin74,Bin75,Bin76,Bin77,Bin78,Bin79,Bin80,Bin81,Bin82,Bin83,Bin84,Bin85,Bin86,Bin87,Bin88,Bin89,Bin90,Bin91,Bin92,Bin93,Bin94,Bin95,Bin96,Bin97,Bin98,Bin99,Bin100,Bin101,Bin102,Bin103,Bin104,Bin105,Bin106,Bin107,Bin108,Bin109,Bin110,Bin111,Bin112,Bin113,Bin114,Bin115,Bin116,Bin117,Bin118,Bin119,Bin120,Bin121,Bin122,Bin123,Bin124,Bin125,Bin126,Bin127,Bin128,Bin129,Bin130,Bin131,Bin132,Bin133,Bin134,Bin135,Bin136,Bin137,Bin138,Bin139,Bin140,Bin141,Bin142,Bin143,Bin144,Bin145,Bin146,Bin147,Bin148,Bin149,Bin150,Bin151,Bin152,Bin153,Bin154,Bin155,Bin156,Bin157,Bin158,Bin159,Bin160,Bin161,Bin162,Bin163,Bin164,Bin165,Bin166,Bin167,Bin168,Bin169,Bin170,Bin171,Bin172,Bin173,Bin174,Bin175,Bin176,Bin177,Bin178,Bin179,Bin180,Bin181,Bin182,Bin183,Bin184,Bin185,Bin186,Bin187,Bin188,Bin189,Bin190,Bin191,Bin192,Bin193,Bin194,Bin195,Bin196,Bin197,Bin198,Bin199,Bin200,Bin201,Bin202,Bin203,Bin204,Bin205,Bin206,Bin207,Bin208,Bin209,Bin210,Bin211,Bin212,Bin213,Bin214,Bin215,Bin216,Bin217,Bin218,Bin219,Bin220,Bin221,Bin222
3009,0,0,18.293755,0,0,0,20.596115,0,0,28.097475,0,0,0,0.518471,0,20.279091,0,0,0,0,0,0,0,0,0,0,0,0,0,16.666667,1.608899,11.664565,0,20.078031,0,0,0,3.288122,22.472611,0,0,6.860158,0.813659,0.956561,1.103405,0,0,0,0,0,0,0.914077,0,0,17.593404,0.343658,5.357529,0.330453,2.630497,6.224954,0.703606,1.310905,0,0.663708,0,0.493218,12.584828,3.923877,0,0,0,0.797911,36.796546,0,48.090701,54.387717,76.049227,0,25.917047,29.127422,12.76797,32.795577,0,32.780085,42.568521,33.520206,7.589548,13.032459,26.56256,32.672416,14.303329,5.636807,32.174636,6.465517,42.809621,67.021628,1.13464,39.179058,17.486446,20.379905,35.118603,0,78.878459,9.907182,12.7569,29.822482,39.618445,9.146878,20.84978,0,45.691772,9.626437,42.773465,33.684612,16.591056,12.840809,56.197314,38.768207,34.51428,1.339185,0,34.00603,27.307949,44.67346,41.628362,24.383441,31.052963,65.279271,17.976843,10.026385,28.163619,15.354454,31.747896,0.669792,46.085087,22.479367,0,40.917616,37.197679,10.672945,34.781839,0.83724,0,21.707694,64.374311,29.759402,18.757881,10.887881,24.223035,10.8299,11.672832,0,10.816575,23.107837,26.633605,2.869683,55.432335,8.549116,28.229054,0,0,16.217064,24.449041,42.899416,36.280509,20.73882,0,0.690088,11.730652,16.098242,13.074713,22.691293,0,12.085541,0,11.233528,10.351317,0.690088,0,13.406459,5.636807,0,0,0,0,11.609499,7.387863,33.884061,49.525737,0.304692,0,26.616422,10.359035,32.866153,25.45211,0,11.041405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37831,0,0,0,0,0,0,0,0,0,0
3011,0,0,0,0,0,0,0,0,24.801587,0,0,3.999006,0,0,0,0,0,0,25.063242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.452581,0,0,0,0,0,0,0,0.151515,0,0,0,0,0,0,0,11.969697,0.157673,8.076923,5.807893,9.705092,12.746765,50.224546,0,16.742709,0,50.48708,14.740709,0,90.82501,29.411765,3.80117,17.186405,52.788452,32.713085,25.757576,27.819175,0,32.029478,9.01018,26.152948,34.850427,31.564398,0,0,0.15006,16.517635,82.569989,9.596565,57.056006,4.839911,25.906607,34.285714,0,37.523359,60.408077,54.53631,53.497546,23.714286,0,0.454545,36.58818,54.027946,51.711634,0,83.774087,0,0.622689,71.239362,18.069,29.411765,0,86.770749,49.991314,0,0,53.528226,61.933455,0,0,9.722222,0,74.979152,15.036352,0.70392,21.680745,79.484585,0,0,0,22.534014,64.074873,25.869349,20.909091,0,0.151515,0,46.611935,29.426955,0,0,23.991412,86.381962,0,9.19583,0,0,0,0,0,26.467403,0,0,57.521188,19.147694,68.593074,0,0,0,0,55.236914,0,30.35911,8.219955,27.087078,0,31.470442,0,0,76.613693,29.80028,12.170889,26.560624,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.450756,0,0,0,0,0,19.94302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.156463,0,0,0
3021,0,0.354588,0,0,18.723699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188798,0,0,0,0.5634,0,0,0,0,0,0,0,0.321234,0,0.17066,0,0.182954,5.257588,18.988051,10.067114,2.03951,2.245357,42.55808,8.673305,54.267763,19.32506,0,59.647379,21.598536,31.718994,24.471817,68.642766,0.188798,67.556917,67.905994,16.974564,145.505999,40.411132,0,0.702805,54.562539,35.079852,1.969009,5.446737,16.867313,34.354342,24.732536,28.892604,43.550954,6.104941,22.265079,19.369343,29.031062,0.645645,37.331145,1.778656,47.138572,74.728073,102.143209,0,22.138348,18.291979,6.583023,20.683344,13.910921,24.010143,70.586863,49.220967,59.367939,79.25762,12.387855,12.912896,20.719563,18.295376,20.390183,0.182954,0.755192,24.925057,43.651453,0,0,44.047014,26.771413,17.747011,25.31755,0,0,28.190562,0,50.733437,0,0,46.616713,0,10.977225,0,1.452701,38.269329,23.380374,9.200438,20.89522,37.411261,0,18.82622,58.551278,0.160617,18.792162,0,0,0,14.272797,26.540574,0,4.575961,0,27.808971,14.570568,25.707648,18.239465,0,55.446585,0,0,0,42.302654,0,5.76797,39.554118,0.179557,0.897785,2.3795,0,0,17.076219,0.177294,20.222849,36.029381,13.507058,0.7512,24.038395,0,0,14.460037,0,0,0,0,0,0,34.172435,4.153556,0,0,0,0,0,0,0,0,0,28.010906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.934783,0,0,0,0
3024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.913866,0,0,0,0,0,0,0,0,0,0,24.694989,0,0,0,0,0,10.598649,0,0,0,12.374359,0,0,3.485839,0,0,0,0,0,0,1.810865,0,1.144492,0,4.085196,0,3.217223,3.859089,3.88849,6.809688,0,10.241159,6.081987,7.369814,8.842671,13.385772,57.541343,10.820255,20.296042,6.066108,13.074875,28.728489,36.597395,21.483797,50.023173,40.105382,46.284237,15.766453,22.76273,42.465779,45.143308,21.678936,11.059725,8.861452,0,69.355116,13.386257,9.646482,50.725318,41.154146,30.769917,41.557295,60.232781,16.481294,10.002855,23.414479,11.482683,29.446164,34.207713,7.640133,1.710936,41.20422,16.313641,45.571917,31.899546,45.371532,19.658459,2.420753,20.796719,0,0,17.777778,18.398262,36.562914,10.453089,57.150501,37.077297,6.8836,16.763425,8.243599,8.370693,18.763385,15.103095,0,0,0,0,48.223669,17.853818,21.219192,29.010931,39.918291,15.90849,0,0,18.168813,4.657226,29.920951,4.199569,36.686442,0,0,0,0,17.052314,0.754527,0,0,36.692498,31.034131,40.788366,32.752659,5.132807,0,13.581489,7.095419,0,22.437764,35.342623,4.565572,0,0,5.982628,0,11.710372,50.363044,32.756152,27.406026,21.173104,0,0,28.462136,23.799641,28.911664,10.095248,28.812232,29.384795,4.386769,8.752515,0,6.22355,0,14.143519,0,0,0,11.249381,6.265478,0,39.990474,0,18.366804,0,37.49078,34.033936,13.196944,0,2.329891,0,16.400463,20.953509,0,21.147335,0,0,13.733906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3028,22.375142,0,0,33.571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.852941,0,20.073529,0,0,0,0,1.041667,19.375,0,0,0,24.212106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.661765,0.579151,0.882353,1.158301,28.851433,36.490811,0.807961,51.721742,71.66319,1.27409,27.606178,66.398987,42.369068,13.939879,25.807961,0,87.369428,33.881484,43.270504,12.615237,20.667031,59.922534,36.176471,0,0.882353,24.705882,0,0,0,50.624024,34.857412,25.833333,48.678692,0,87.955279,26.216512,9.185347,23.155324,30.059457,53.730191,42.163117,34.958538,57.406021,17.208604,30.630428,20.766036,0,0,29.779412,15.625,78.364062,32.239382,39.736969,0,0,0,26.693867,33.209693,0,29.07245,0,43.831038,19.147523,12.006003,45.279035,21.610805,0.574084,26.981957,0.191361,11.864407,69.224762,50.127078,15.232843,0,0,29.779412,33.630069,0,0,0,0,0,0,32.239382,0,34.555985,27.826488,30.526073,32.398287,0,19.475375,0,0,0,25.222552,20.073529,0,0.220588,23.411706,26.458333,11.864407,71.894504,0,16.405168,0,0,36.617647,1.102941,42.181373,14.478764,65.429622,54.66331,88.742799,10.374732,23.751236,52.820742,0,0,22.611306,0,19.209605,25.642928,0,0,0,0,0,0,19.293362,24.044118,0,0,19.751281,0,0,0.416667,46.379486,0,0,51.865109,19.809905,0,0,0,0,17.870932,0,0,23.386652,0,0,0,0,0,0,0,30.267062,0,0,56.171782,49.009741,0,33.733048,0,0,0,0
3029,0,0,0,0,0,0,0,0,0,0,0,16.77546,0,0,0,0,0,0,0,0,0,0,0,0,0,18.820127,0,0,0,0,0,0,0,0,9.056647,0,0,0,0,7.233455,0,0,0,0,0,0,16.446417,0,0,17.544977,0,0.160333,5.130672,0.641334,9.548231,0.143338,0.307807,14.334896,29.239301,9.803708,17.33184,7.96618,3.612837,6.425673,18.224726,15.144001,14.242258,16.037079,0.153903,22.007653,53.833976,31.40098,27.472727,1.35091,22.618094,20.501335,0,59.844793,23.058894,28.629989,33.478083,7.655159,57.336575,55.117901,22.284908,17.07737,24.459952,54.658719,35.192288,11.808261,20.961002,14.000901,12.773974,24.577525,34.087641,28.41458,25.857301,13.438988,16.695448,32.646604,11.529447,45.054576,17.370946,9.798995,0,12.619918,0,17.801781,57.880138,21.843622,52.410595,14.3046,35.658807,0,0,0,46.572427,41.293897,69.579899,8.992356,70.224188,48.685395,0.453093,16.928017,7.119046,0,0,0,0,0,0,28.753149,4.602558,26.6863,16.033349,0,0,43.958449,0,29.925742,0,36.192082,42.551424,43.176055,37.698045,13.949014,20.412716,38.124015,0,0,8.638273,6.617842,0,22.667838,0,0,0,0,0,32.53372,0,13.605288,38.971066,31.529762,0,0,25.432604,6.604451,41.810992,45.901935,37.108184,6.154147,17.085031,35.630908,25.479353,9.890292,29.907165,0,14.590348,0,0,14.396294,0,0,0,0,16.731735,0,32.116163,0.900607,28.616405,24.597749,0.669269,13.625668,1.048128,32.51942,27.639691,8.579265,27.960754,0,0,0,0,0,0,0,0,31.656442,0,0,30.703518,0,0,0,0,0,0,60.099241,0,0,0,0
3031,0,0,0,0,0,0,0,0,0.768095,0.960118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.503473,0,0,0.5153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.547266,19.019396,0.509453,31.03759,43.121099,14.276337,33.341731,46.645135,96.548267,47.746871,34.47784,53.587812,20.547945,26.708742,52.709348,19.21346,39.156098,52.159994,35.42422,42.947454,0,49.961766,7.47198,24.059666,52.642759,0.758705,1.576563,26.708742,64.225428,0,0.354588,23.36084,42.492188,12.387507,16.472824,78.129569,0,0,87.487412,40.151641,52.952438,21.714236,0.189676,40.496294,42.686048,51.269373,26.863748,12.060203,0,0.158626,26.829606,51.696666,0,38.227889,43.803856,36.800574,0,19.916001,0,49.38281,21.476359,34.646174,21.809873,41.740429,13.636364,0,33.572687,11.001467,17.515375,47.587056,7.680945,0,5.485516,10.286532,24.298944,1.028553,24.4284,0,21.599614,31.690141,0,0,10.811543,0,5.603985,15.605429,46.237986,18.853229,0,55.519717,6.186413,0,17.482517,0,0,33.842932,47.47677,0,0,0,28.721648,0,26.490537,0,5.513539,25.469915,9.294134,12.612504,27.510472,0,34.953931,1.390716,61.255318,1.374133,19.78233,32.937578,2.112676,0,18.970471,0,0,0,17.784009,0,0,0,0,0,0,0,0,13.313198,0,19.559648,0,0,0,0,9.987196,0,0,0,0,0,16.76412,0,0,0,0,0,0,0,0,0,0,13.004714,0.645624,0,37.713612,0,0,0,0,0,0
3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25902,7.717424,42.67697,29.692872,38.684332,52.503653,55.625515,11.977991,36.608932,25.426128,95.657331,43.543446,17.679023,38.803905,32.952015,12.763431,43.796435,41.278666,44.029735,44.210029,37.769118,20.113994,33.801766,78.276781,24.580028,108.991298,34.628511,13.749826,39.864044,109.684115,18.937064,63.680802,7.532781,53.779307,28.565252,0,46.897446,75.697964,89.878958,11.029412,102.912587,56.716433,55.158459,49.177015,10.696822,44.216237,52.16042,32.926989,17.874396,44.666821,62.80819,41.753917,38.504222,0,27.665594,37.103136,13.526822,16.877104,2.888944,93.436606,54.350779,11.564718,32.516442,67.036497,19.111654,37.739969,12.408313,0,15.97392,17.52451,37.770697,16.638303,32.605383,46.837251,12.3046,35.224317,37.986192,0,37.07867,0.89372,40.294399,0,36.767507,4.246759,31.484911,39.656058,0,14.690302,20.926091,19.606918,36.51103,0,22.561281,50.654489,7.841421,0,33.346039,23.074058,11.880304,11.597439,19.111654,37.546574,62.066461,40.719047,0,15.318627,8.482993,15.880083,29.559249,36.314493,0,0,10.091837,23.378551,19.024815,18.106263,11.437908,41.719339,48.505999,13.481741,14.690302,16.907495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.281633,0,0,0,0,0,0,0,0,0,0,0,0
3035,0,0,7.931113,0,0,0,0,0,0,0,0.583221,0,0.898012,7.656613,0.232019,0,0,0,0,0,0,0,0,0,0,15.777262,0,12.247645,0,0,0,21.654501,0,0,7.740687,0,1.458053,12.830866,0,25.44366,18.663078,0,7.424594,0.232019,0.243309,0.928074,0,0.544059,0,0,0,0,15.967992,0,12.857392,10.044922,0.464037,6.081675,0.496389,15.223579,30.23158,36.306907,17.125882,58.300465,27.423754,28.783592,64.548763,62.302414,34.546123,57.253932,20.875357,21.842807,83.75598,45.883389,40.520674,56.212009,65.018498,26.487939,41.280063,59.596401,21.261168,20.151849,22.063545,22.943318,73.336404,70.842975,105.849229,38.543227,112.33635,29.545057,48.501447,16.913414,43.483828,17.313208,76.062814,17.88665,12.895377,0,0,0.266667,4.892709,26.333035,9.066667,27.726619,48.91856,65.774991,53.127567,39.306341,99.579817,53.012023,5.825243,0,15.02755,0,17.941321,21.348905,21.483212,0,19.243372,13.672922,1.223644,18.517558,27.136003,0,57.57731,39.716537,64.954695,6.082725,30.235784,0,14.4,50.438058,0,7.342866,1.519214,0,0,12.16545,13.138686,16.762882,14.849188,14.979196,26.524299,97.035797,25.038294,19.246299,24.512175,0,0.549633,22.788204,0,0,0,12.408759,6.326034,30.162513,5.866667,36.143542,0,34.816024,0,21.931946,0,0,0,0,9.489051,22.141119,24.844986,72.287062,0.898012,42.010089,35.522746,0,0,0,21.809745,0,7.342866,0,37.909376,0,0,0,0,14.841849,0,9.489051,33.911974,1.197349,0,6.286081,34.4,18.585298,1.664355,32.8846,10.206371,0,11.74594,44.333224,0,0,0.384862,0,41.669858,0,0,0,0,0,0,0,0,0,0,51.160093,0,0,0,0,0,0
3036,0,0,0,0.826603,0,0,0,0,0,2.369807,0,0,0,0,0,0,0.410397,0.820793,0,2.248833,0,0,0,1.168738,0,0,6.731392,0,0,0,0,5.510689,0.626239,28.805817,4.637337,10.260302,14.175326,3.713998,0,0,0,3.556772,11.944655,0,0,0.861748,13.213469,11.059099,6.120636,27.091734,7.318622,6.637875,9.266209,38.117397,11.627907,2.550857,31.483052,31.643944,20.482034,29.472752,12.782628,9.813086,8.254922,9.829619,5.08168,15.609339,0.375729,2.504859,14.762483,5.891589,35.927204,22.895161,26.897661,0.820793,32.01546,6.607608,36.29172,33.00223,40.720447,13.974441,0,4.216563,7.168157,19.913094,30.003951,36.168492,18.38916,41.864001,29.100403,7.671433,34.069988,21.279996,15.428725,6.472492,33.726708,0,40.166962,19.023098,32.860132,20.507814,15.705225,0,0.46968,34.467313,12.746716,41.079198,41.310078,28.1262,33.542325,41.631325,36.398194,26.406325,15.533981,19.793264,17.668378,28.88735,32.214632,15.176738,16.282225,6.867093,0,0,6.429549,15.724446,19.60991,36.114149,19.788383,3.45946,54.773782,24.649387,18.953245,33.170565,5.695793,0,0,11.242028,0,0,1.405521,10.681959,22.17078,0,3.520576,3.519492,14.262423,18.814831,23.56836,16.722516,20.352782,4.133165,0,0,32.779642,0,0,0,0,0,0,0,14.781042,0,0,35.637263,59.658475,7.250342,12.823661,26.95558,25.407753,6.319485,2.872493,18.447817,0,0,0,1.502915,0,0,0,17.847824,0.31312,10.64607,0,22.924476,36.634201,0,9.401233,17.462483,45.529982,32.924862,27.514807,24.031362,14.903908,37.822322,8.02589,20.520605,0,0.653664,0.618429,0,0,0,0,0,0,0,22.38806,0,30.523256,0,0,5.868093,1.574483,0,11.939826,12.110905,0,12.110905,18.057456,0,0,0
3037,7.092199,0,8.881579,0,0,0,0,0,0,0,0,19.473362,0,0,0,18.216329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54375,0,0,0,0.788043,0,0,0,1.776042,0,0,0,0,0,0,0,0,0,0,0.161206,0,0,2.521739,1.51875,5.238546,11.57756,18.612099,21.338961,16.023964,11.435213,19.219081,5.381457,14.055492,22.250814,13.311663,4.030161,10.461338,1.591343,11.081142,38.16892,18.659795,18.483883,13.861119,18.576181,43.724843,29.492859,50.917872,14.14938,39.111544,23.72858,26.068045,48.718611,35.280693,38.1868,20.367793,6.152842,44.75492,3.062923,16.204612,28.967469,0,19.532176,40.126831,10.494792,0,7.092199,64.929116,84.29578,58.060337,50.422269,49.949579,11.519537,54.124083,30.699247,34.476463,15.119333,0,22.427847,1.776042,13.865014,30.3486,38.361888,58.270879,38.669174,13.898753,3.412888,19.248459,0,0,0,0,11.052632,47.238834,37.057529,34.42945,48.338307,29.983511,5.7041,28.122943,7.566802,0,20.956838,6.125845,0,4.836193,20.063276,19.709013,21.930933,1.130208,14.854167,29.787234,31.361254,6.789474,17.953373,0,22.57476,17.332004,3.141457,0,33.260479,0,0,0,0,10.859189,0,32.121721,14.820658,0,26.919586,9.707193,50.031813,42.125707,26.853967,26.414511,17.17245,31.276598,35.996622,24.242763,11.080155,45.053771,33.928413,18.538324,0,0,0,0,0,0,0,0,0,0,0,0,0,23.991811,15.340209,28.675336,4.468671,14.969792,23.758873,13.079044,0,0,14.219228,13.421053,0,0,0,0,0,20.94305,0,0.183711,0,0,0,0,0,31.10025,48.487696,0,0,0,0,0,0,0,0
3038,0,0,3.920616,11.761847,0,3.385986,0.788462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.221154,0,0,0,1.199415,0,0,0,0,0,0,0,0,0,0,24.716573,4.512839,0,16.929931,4.992294,1.941619,16.40531,3.560458,0,0,5.716346,0,0.179718,0,0.359435,3.397753,0.77951,2.585089,14.945896,11.655457,6.163073,6.442973,11.838908,15.043697,27.771331,9.914756,53.869302,17.524875,31.502365,37.51913,51.533387,43.414283,42.928528,43.803791,51.161086,31.493227,62.304131,23.03808,31.025007,44.819309,19.885315,13.031932,96.625297,60.462552,60.691551,84.646508,89.773495,53.668397,86.341824,56.209468,65.40843,49.120227,50.328092,34.592895,25.897826,29.005495,33.967161,58.87246,14.423042,49.781313,59.813594,9.249438,46.227327,9.85431,14.197689,15.971064,4.098825,0,11.017264,57.333368,34.427202,8.886414,50.197529,50.200541,92.762531,46.051306,29.271923,29.522832,30.177188,25.731479,45.79984,0,20.933803,18.846531,0,29.961538,37.426401,31.794875,38.861938,0.197115,20.494127,0,30.097208,2.966024,0,0,35.693848,32.821423,88.830209,52.583222,6.181774,13.266984,14.131687,17.366292,0,15.33562,21.189664,54.073792,28.86065,41.035471,18.831117,13.838254,21.90342,24.614634,0,0,13.957759,0,21.789371,14.392979,17.449623,20.140157,4.597757,13.918526,19.2871,16.6463,2.265169,2.726093,14.140891,32.280917,38.560517,20.788676,80.165154,50.350642,26.039321,21.562678,42.82389,22.045217,0.712839,32.331596,10.556494,9.519028,15.992199,4.997562,0,0,0,0,0,0,0,0,18.396437,21.76441,7.727856,43.615148,15.275995,0.179718,0,0,0,0,0,26.270956,23.815248,54.497613,4.722357,28.786517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3040,0,0,0,0,30.390738,0,0,0,0,0,0,0,0,0,26.485907,0,0,2.020958,0.224551,0.998004,14.267071,0,0.357143,12.857143,3.392857,13.617945,9.895833,9.03171,11.261128,4.509139,4.341534,4.823455,17.165826,0,0,22.290559,0,20.441989,0,11.49663,21.336359,0,0,0.174231,28.375092,0,11.227545,0,14.182344,27.070137,10.771513,12.678571,11.587537,49.331686,28.235768,6.516236,37.448094,19.62963,48.820493,27.608652,32.199046,7.959479,51.110692,9.696093,49.43311,17.715624,25.851001,12.215974,17.751982,0,12.566766,8.325752,44.72808,5.934128,20.876701,56.867798,7.377049,11.211778,22.847733,40.423157,22.83387,38.400322,23.499732,34.59931,37.56326,22.24396,4.732938,25.697708,82.624912,51.948805,29.010741,14.942919,25.638115,16.993245,17.857143,23.043209,1.447178,37.784711,34.175951,9.907628,0,39.724648,1.090034,17.463,17.046724,17.02396,27.355996,30.682006,9.944751,15.711994,71.423096,32.307128,31.30478,54.871113,80.169005,55.712348,19.721339,9.696093,5.389222,0.748005,0,0,29.174492,31.289566,16.201722,26.383361,68.462942,26.862018,16.030895,26.022729,35.041409,16.646884,42.752209,0,19.165392,53.317926,36.195572,0,45.291371,46.132503,6.242119,4.582018,27.38932,40.076373,24.861878,49.612169,0,16.973294,0,0,0,0,0.178571,28.341208,19.67632,31.933492,0,0,49.418193,24.318892,28.555435,12.924689,39.109855,40.530202,2.170767,23.750775,0.86909,34.171862,0,17.86372,34.6908,18.222113,0,36.046952,54.934496,0.156161,18.234443,0,0.468484,0,0,0,0,0,0,0,17.172181,0,0,14.116115,0,8.214286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.23589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3042,0,0,0,0,0,0,26.88092,0,0,0,24.904459,16.827731,0,0,0,0,0,20.730544,0,0,0,4.102596,0,0,6.499138,0,0,0,0,16.256983,0,0,25.414912,0,0,0,0,0,0,0,0,0,0,0,0,24.57654,0,0,1.513118,22.632822,0,0,0,0,1.340782,0,0.680592,0.1868,0.707874,1.213978,15.491124,0.171887,0,1.890756,4.296389,30.4343,5.500382,11.885116,0.190256,0,3.438904,20.781729,12.9618,0,3.175592,35.248491,29.148009,29.59327,19.766998,0,23.453325,25.761791,44.858062,62.706821,25.938483,2.579178,15.75419,3.344067,57.664948,0.33909,0.343774,47.10273,13.565333,3.287828,15.721285,90.565499,39.838501,16.097993,33.165553,27.574581,30.508089,10.167302,97.678336,1.843575,0,22.60274,35.693086,3.404515,24.793948,88.463946,7.986675,13.022636,32.965244,7.610703,44.293083,26.39545,0.167598,36.35479,0,32.263722,33.294731,21.297473,23.0904,32.09943,0,30.598216,0,7.331759,0,10.654314,33.543329,28.814218,13.835486,29.392666,0,33.858061,67.121345,5.278183,30.145159,0,11.059171,17.26257,44.250234,42.988307,3.924222,18.493151,14.748603,0,0,18.570082,19.395591,28.129885,14.813794,20.947789,17.779134,1.702257,0,0,0,0,37.63559,15.439893,0.373599,23.894592,15.449273,39.540358,17.948518,23.545332,0,0,0,0,0,0,2.473323,18.264538,0.380511,7.134949,0.190256,16.963882,34.03248,47.302068,24.510498,3.01213,7.618918,18.308698,1.942386,25.569915,4.46281,10.84381,3.788137,0,3.026236,0,14.257288,14.185479,0,0,0,0,24.863014,0,0,16.568937,41.975721,0,0,0,67.573531,16.131285,0,12.272727,10.018553,0,0,0,0,0,0,15.240754,8.709002,0
3043,0,0,0,0,0,9.126145,0,0,11.950904,15.64482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.156863,0,15.264722,0,0,0,0,0.827494,0,0.193477,20.166258,0,0,0,0.191681,0,0,0,11.79761,1.303735,0,9.414061,9.813038,30.908343,5.571621,11.457174,13.332707,24.155861,31.142172,19.962963,0,0,0,11.611111,5.703704,0,33.689235,24.988255,60.701895,2.708679,43.148306,5.557789,38.895825,73.535691,21.172472,34.513187,0,12.745098,0,36.798923,5.462037,18.144004,35.973406,33.081863,32.987395,67.370951,10.830662,19.04964,35.517009,0.200852,34.230092,33.08333,36.329468,34.526379,23.410724,29.605283,26.094657,29.012037,0.217289,31.651652,27.441625,12.968987,65.804159,58.516943,26.222499,37.64571,3.947083,0,12.205539,0.562152,22.49538,18.627451,81.692251,31.698611,56.428992,12.78597,42.732793,7.387832,24.648148,0,15.277778,22.702114,65.550936,42.094681,16.948555,20.784314,11.27738,13.532856,6.390515,41.091049,21.107646,36.163425,16.590389,14.93135,0.368675,46.301704,27.196139,13.72549,10.350776,0,1.034368,39.443938,22.742717,0,28.4555,0,10.42988,0,22.810044,28.030303,0,12.382532,37.835167,24.071722,2.444444,57.237447,16.774727,9.40122,33.057462,0,8.481815,1.034368,11.133337,23.682498,8.636619,0,47.123907,0,18.686869,24.434324,34.502588,57.497512,38.032856,44.714819,15.101768,0,0,0,0,0,7.352128,14.123825,0,0,0,0,1.568627,5.098039,6.470588,0,0,25.254259,0,11.884225,11.1175,0,0.435323,0,0,23.187859,0,0,0,0,0,0,0,0,0,0,75.441176,0,0,0,0,0,0,0,0,0,0
